Subgroup,Alfanumeric code,Parameter,Units,Analysis method code,Analysis method
Biota,ALD,Aldrin,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,aHCH,alfa-HCH,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA7,Benzo(a)anthracene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA9,Benzo(a)pyrene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA8,Benzo(b)fluoranthene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA4,Benzo(e)pyrene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA5,"Benzo(g,h,i)perylene",µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,Cd,Cadmium,mg/kg FW,ICP-MS,Inductive coupled plasma mass spectrometry
Biota,Cr,Chromium,mg/kg FW,ICP-MS,Inductive coupled plasma mass spectrometry
Biota,3PA3,Chrysene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,Cu,Copper,mg/kg FW,ICP-MS,Inductive coupled plasma mass spectrometry
Biota,DIEL,Dieldrin,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA6,Fluoranthene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,gHCH,Gamma-HCH,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,HCB,Hexachlorobenzene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,Hexaclor,Hexachlorobutadiene,µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,3PA10,"Indeno(1,2,3-cd)pyrene",µg/kg FW,GC-MS,Gas Chromatography with mass spectrometry
Biota,Pb,Lead,mg/kg FW,ICP-MS,Inductive coupled plasma mass spectrometry
Biota,Hg,Mercury,mg/kg FW,EAA,Atomic absorption spectrometry
Biota,Ni,Nickel,mg/kg FW,ICP-MS,Inductive coupled plasma mass spectrometry
