datecollected,siteid,sampleid,basisofrecord,minimumdepthinmeters,maximumdepthinmeters,taxaname,taxanameid,samplingeffort,parameter,parameter_value,parameter_standardunit
2010-01-20,E-A5,E-A5_20100120,MaterialSample,Intertidal,Intertidal,Potamopyrgus antipodarum,147123,0.25 m2 * 3,Abundance,5.33,Ind/m2
2013-01-30,E-A5,E-A5_20130130,MaterialSample,Intertidal,Intertidal,Trematoda,19948,0.25 m2 * 3,Abundance,1.33,Ind/m2
2016-01-26,E-A5,E-A5_20160126,MaterialSample,Intertidal,Intertidal,NEMERTEA,152391,0.25 m2 * 3,Abundance,1.0,Ind/m2
2019-01-21,E-A5,E-A5_20190121,MaterialSample,Intertidal,Intertidal,NEMERTEA,152391,0.25 m2 * 3,Abundance,3.0,Ind/m2
2021-03-15,E-A5,E-A5_20210315,MaterialSample,Intertidal,Intertidal,NEMERTEA,152391,0.25 m2 * 3,Abundance,1.0,Ind/m2
2003-02-28,E-A5,E-A5_20030228,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,4.0,Ind/m2
2006-02-16,E-A5,E-A5_20060216,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,13.33,Ind/m2
2007-02-13,E-A5,E-A5_20070213,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,4.0,Ind/m2
2008-01-28,E-A5,E-A5_20080128,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,5.0,Ind/m2
2009-01-14,E-A5,E-A5_20090114,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,13.33,Ind/m2
2010-01-20,E-A5,E-A5_20100120,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,2.67,Ind/m2
2011-01-21,E-A5,E-A5_20110121,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,4.0,Ind/m2
2013-01-30,E-A5,E-A5_20130130,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,1.33,Ind/m2
2015-02-16,E-A5,E-A5_20150216,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,20.0,Ind/m2
2016-01-26,E-A5,E-A5_20160126,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,3.0,Ind/m2
2018-01-17,E-A5,E-A5_20180117,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,7.0,Ind/m2
2019-01-21,E-A5,E-A5_20190121,MaterialSample,Intertidal,Intertidal,Nematoda,799,0.25 m2 * 3,Abundance,25.0,Ind/m2
2003-02-28,E-A5,E-A5_20030228,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,198.67,Ind/m2
2004-02-10,E-A5,E-A5_20040210,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,14.67,Ind/m2
2005-02-21,E-A5,E-A5_20050221,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,2.67,Ind/m2
2006-02-16,E-A5,E-A5_20060216,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,1.33,Ind/m2
2007-02-13,E-A5,E-A5_20070213,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,25.33,Ind/m2
2008-01-28,E-A5,E-A5_20080128,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,75.0,Ind/m2
2009-01-14,E-A5,E-A5_20090114,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,322.67,Ind/m2
2010-01-20,E-A5,E-A5_20100120,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,2.67,Ind/m2
2011-01-21,E-A5,E-A5_20110121,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,97.33,Ind/m2
2012-01-24,E-A5,E-A5_20120124,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,10.67,Ind/m2
2013-01-30,E-A5,E-A5_20130130,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,154.67,Ind/m2
2014-02-18,E-A5,E-A5_20140218,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,52.0,Ind/m2
2015-02-16,E-A5,E-A5_20150216,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,309.33,Ind/m2
2016-01-26,E-A5,E-A5_20160126,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,1012.0,Ind/m2
2017-02-13,E-A5,E-A5_20170213,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,672.0,Ind/m2
2018-01-17,E-A5,E-A5_20180117,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,385.0,Ind/m2
2020-01-27,E-A5,E-A5_20200127,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,269.0,Ind/m2
2021-03-15,E-A5,E-A5_20210315,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,37.0,Ind/m2
2022-02-17,E-A5,E-A5_20220217,MaterialSample,Intertidal,Intertidal,Hediste diversicolor,152302,0.25 m2 * 3,Abundance,3.0,Ind/m2
