datecollected,siteid,sampleid,basisofrecord,minimumdepthinmeters,maximumdepthinmeters,taxaname,taxanameid,samplingeffort,parameter,parameter_value,parameter_standardunit
2002-05-22,M-EA1,M-EA1_20020522,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,37.5,%
2005-06-06,M-EA1,M-EA1_20050606,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2008-06-03,M-EA1,M-EA1_20080603,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2011-05-05,M-EA1,M-EA1_20110505,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2014-05-14,M-EA1,M-EA1_20140514,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2017-04-28,M-EA1,M-EA1_20170428,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2020-05-21,M-EA1,M-EA1_20200521,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2002-05-22,M-EA1,M-EA1_20020522,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,15.0,%
2005-06-06,M-EA1,M-EA1_20050606,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,15.0,%
2002-05-22,M-EA1,M-EA1_20020522,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,62.5,%
2005-06-06,M-EA1,M-EA1_20050606,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,37.5,%
2008-06-03,M-EA1,M-EA1_20080603,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,37.5,%
2011-05-05,M-EA1,M-EA1_20110505,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,2.5,%
2014-05-14,M-EA1,M-EA1_20140514,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,0.1,%
2017-04-28,M-EA1,M-EA1_20170428,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,0.1,%
2017-04-28,M-EA1,M-EA1_20170428,HumanObservation,Intertidal,Intertidal,Gelidium pusillum,145590,0.25 m2,Coverage,87.5,%
2020-05-21,M-EA1,M-EA1_20200521,HumanObservation,Intertidal,Intertidal,Gelidium pusillum,145590,0.25 m2,Coverage,87.5,%
2005-06-06,M-EA1,M-EA1_20050606,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,37.5,%
2008-06-03,M-EA1,M-EA1_20080603,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,62.5,%
2011-05-05,M-EA1,M-EA1_20110505,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,37.5,%
2014-05-14,M-EA1,M-EA1_20140514,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,87.5,%
2017-04-28,M-EA1,M-EA1_20170428,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,37.5,%
2020-05-21,M-EA1,M-EA1_20200521,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,37.5,%
2017-04-28,M-EA1,M-EA1_20170428,HumanObservation,Intertidal,Intertidal,Caulacanthus ustulatus,145606,0.25 m2,Coverage,87.5,%
2020-05-21,M-EA1,M-EA1_20200521,HumanObservation,Intertidal,Intertidal,Caulacanthus ustulatus,145606,0.25 m2,Coverage,87.5,%
2002-05-22,M-EA2,M-EA2_20020522,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,15.0,%
2005-06-06,M-EA2,M-EA2_20050606,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,62.5,%
2008-06-03,M-EA2,M-EA2_20080603,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2011-05-05,M-EA2,M-EA2_20110505,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2014-05-14,M-EA2,M-EA2_20140514,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2017-04-28,M-EA2,M-EA2_20170428,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2020-05-21,M-EA2,M-EA2_20200521,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2002-05-22,M-EA2,M-EA2_20020522,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,87.5,%
2005-06-06,M-EA2,M-EA2_20050606,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,62.5,%
2008-06-03,M-EA2,M-EA2_20080603,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,62.5,%
2011-05-05,M-EA2,M-EA2_20110505,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,15.0,%
2014-05-14,M-EA2,M-EA2_20140514,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,0.1,%
2017-04-28,M-EA2,M-EA2_20170428,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,0.1,%
2014-05-14,M-EA2,M-EA2_20140514,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,37.5,%
2017-04-28,M-EA2,M-EA2_20170428,HumanObservation,Intertidal,Intertidal,Catenella caespitosa,145605,0.25 m2,Coverage,37.5,%
2017-04-28,M-EA2,M-EA2_20170428,HumanObservation,Intertidal,Intertidal,Caulacanthus ustulatus,145606,0.25 m2,Coverage,37.5,%
2020-05-21,M-EA2,M-EA2_20200521,HumanObservation,Intertidal,Intertidal,Caulacanthus ustulatus,145606,0.25 m2,Coverage,37.5,%
2002-05-22,M-EA3,M-EA3_20020522,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,15.0,%
2005-06-06,M-EA3,M-EA3_20050606,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,62.5,%
2008-06-03,M-EA3,M-EA3_20080603,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,62.5,%
2011-05-05,M-EA3,M-EA3_20110505,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2014-05-14,M-EA3,M-EA3_20140514,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,87.5,%
2017-04-28,M-EA3,M-EA3_20170428,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,7.0,%
2020-05-21,M-EA3,M-EA3_20200521,HumanObservation,Intertidal,Intertidal,Enteromorpha sp.,144294,0.25 m2,Coverage,7.0,%
2002-05-22,M-EA3,M-EA3_20020522,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,15.0,%
2005-06-06,M-EA3,M-EA3_20050606,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,15.0,%
2008-06-03,M-EA3,M-EA3_20080603,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,2.5,%
2011-05-05,M-EA3,M-EA3_20110505,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,37.5,%
2014-05-14,M-EA3,M-EA3_20140514,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,37.5,%
2017-04-28,M-EA3,M-EA3_20170428,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,15.0,%
2020-05-21,M-EA3,M-EA3_20200521,HumanObservation,Intertidal,Intertidal,Ulva sp.,144296,0.25 m2,Coverage,37.5,%
2002-05-22,M-EA3,M-EA3_20020522,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,7.0,%
2005-06-06,M-EA3,M-EA3_20050606,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,62.5,%
2008-06-03,M-EA3,M-EA3_20080603,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,87.5,%
2011-05-05,M-EA3,M-EA3_20110505,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,15.0,%
2017-04-28,M-EA3,M-EA3_20170428,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,2.5,%
2020-05-21,M-EA3,M-EA3_20200521,HumanObservation,Intertidal,Intertidal,Fucus ceranoides,145542,0.25 m2,Coverage,2.5,%
2017-04-28,M-EA3,M-EA3_20170428,HumanObservation,Intertidal,Intertidal,Caulacanthus ustulatus,145606,0.25 m2,Coverage,2.5,%
2011-05-05,M-EA4,M-EA4_20110505,HumanObservation,Intertidal,Intertidal,Vaucheria sp.,144303,0.25 m2,Coverage,87.5,%
2014-05-14,M-EA4,M-EA4_20140514,HumanObservation,Intertidal,Intertidal,Vaucheria sp.,144303,0.25 m2,Coverage,62.5,%
2017-04-28,M-EA4,M-EA4_20170428,HumanObservation,Intertidal,Intertidal,Vaucheria sp.,144303,0.25 m2,Coverage,62.5,%
2020-05-21,M-EA4,M-EA4_20200521,HumanObservation,Intertidal,Intertidal,Vaucheria sp.,144303,0.25 m2,Coverage,62.5,%
